Entry Dates,Exit Date,Entry Prices,Exit Price,Trade Type,Quantities,Total Quantity,ATR Values,PnL,Txn Fee,Volume,Daily unrealized
['2020-09-25 20:00:00'],2020-09-26 12:00:00,[4.86],4.428378960987654,1,[116.6888],116.6888,[0.47609999999999997],-50.365341097103844,0.5419248974514481,1083.849794902896,"[-14.30604688000003, -6.709606000000012, -21.704116799999994, -34.52821592000006]"
['2020-09-27 12:00:00'],2020-09-27 20:00:00,[4.189],4.5344256776777465,2,[152.3357],152.3357,[0.364691721823944],-52.62066240701388,0.6644445785035069,1328.8891570070139,"[-25.074456220000013, -23.840537050000048]"
['2020-09-29 04:00:00'],2020-09-30 16:00:00,[4.0976],4.332234467358846,2,[189.7049],189.7049,[0.29285255124677906],-44.511308166863245,0.7995904523234316,1599.1809046468634,"[-19.69136861999994, 7.834812369999938, 28.00044323999995, 21.967827420000024, 2.598957130000009, 17.41490982000002, 20.412247239999942, 14.17095603, -25.799866400000024]"
['2020-10-01 08:00:00'],2020-10-01 12:00:00,[4.4048],4.182099013698364,1,[251.3814],251.3814,[0.2210010567517523],-55.98288571788598,1.0792933478610571,2158.586695722114,[0.0502762800001061]
"['2020-10-02 04:00:00', '2020-10-02 08:00:00']",2020-10-02 12:00:00,"[3.95, 3.7352263771434524]",3.95584175847623,2,"[274.3674, 258.6703]",533.0377,"[0.20248602448915817, 0.21477362285654764]",-58.66943495851543,2.0792780750228674,4158.556150045735,"[84.66977964000004, 69.17526434360971]"
"['2020-10-06 04:00:00', '2020-10-06 08:00:00', '2020-10-06 08:00:00']",2020-10-06 12:00:00,"[3.8143, 3.658520104491771, 3.502740208983542]",3.663468111457889,2,"[363.3799, 356.6285, 356.6285]",1076.6369,"[0.15288560233024498, 0.15577989550822866, 0.15577989550822866]",-4.275474494645428,3.9420872135215532,7884.174427043106,"[121.47790056999995, 136.19130857423085]"
"['2020-10-07 00:00:00', '2020-10-07 00:00:00']",2020-10-07 04:00:00,"[3.48, 3.3152782624030794]",3.486145217493539,2,"[337.2691, 337.2691]",674.5382,"[0.1647217375969207, 0.1647217375969207]",-59.70073613644973,2.3216877518784753,4643.37550375695,[60.66737967025037]
['2020-10-07 08:00:00'],2020-10-08 00:00:00,[3.2828],3.4546987993475833,2,[321.2991],321.2991,[0.17290915808442867],-55.23092952145912,1.0823761502407296,2164.7523004814593,"[13.462432290000017, 19.952674110000014, -11.952326519999968, -29.912946210000058]"
"['2020-10-08 16:00:00', '2020-10-09 08:00:00', '2020-10-09 08:00:00']",2020-10-10 04:00:00,"[3.8688, 4.042096154778397, 4.215392309556795]",4.039779812374853,1,"[298.7637, 320.5816, 320.5816]",939.9268999999999,"[0.1859514898910967, 0.1732961547783974, 0.1732961547783974]",-5.958150710041513,3.8000767910830975,7600.1535821661955,"[17.95569837000008, 17.86606926000002, 10.516482240000036, 104.20877856000006, 182.51616763188167, 167.47733723188168, 258.27427577188126, 209.39807697188164, 176.4066427818809]"
"['2020-10-12 08:00:00', '2020-10-12 16:00:00', '2020-10-12 16:00:00']",2020-10-12 20:00:00,"[4.3209, 4.487608859744589, 4.654317719489178]",4.479702783727562,1,"[362.7526, 333.249, 333.249]",1029.2506,"[0.1531499665435336, 0.1667088597445892, 0.1667088597445892]",-3.2188219698103953,4.612346188958169,9224.692377916337,"[56.4443045599999, 135.30671980000008, 156.6209310569264]"
"['2020-10-14 16:00:00', '2020-10-16 04:00:00']",2020-10-16 12:00:00,"[4.1024, 3.9518045093987264]",4.103030803433614,2,"[327.0976, 368.9058]",696.0034,"[0.16984396186061151, 0.1505954906012739]",-55.9945912711829,2.8277260938589364,5655.452187717872,"[15.177328640000072, 26.691164159999964, 15.537136000000105, 33.06956736000021, 36.0461555200001, -1.5046489599999795, 6.607371519999998, 29.864010880000123, 62.47564160000009, 114.68688170334424, 75.71069130334419]"
['2020-10-18 08:00:00'],2020-10-18 16:00:00,[4.2024],4.085066219133593,1,[450.3169],450.3169,[0.12336990150480348],-52.83738446503951,1.8659930483274803,3731.9860966549604,"[14.995552769999847, -10.447352080000048]"
"['2020-10-20 04:00:00', '2020-10-20 08:00:00', '2020-10-20 16:00:00']",2020-10-21 00:00:00,"[3.982, 3.875168918921468, 3.7682938438486135]",3.8852587981343003,2,"[535.8197, 520.0318, 519.8177]",1575.6691999999998,"[0.10368330115557002, 0.106831081078532, 0.10687507507285456]",-14.21166980490363,6.114776787346782,12229.553574693564,"[65.37000340000017, 71.04103546078548, 264.47303026078526, 259.7322835643311, 163.6164623643305]"
"['2020-10-22 04:00:00', '2020-10-22 04:00:00', '2020-10-22 04:00:00']",2020-10-22 20:00:00,"[4.1165, 4.241126863499613, 4.365753726999225]",4.2227203069853765,1,"[445.7751, 445.7751, 445.7751]",1337.3253,"[0.12462686349961209, 0.12462686349961209, 0.12462686349961209]",-24.61555371236784,5.659458478211495,11318.916956422989,"[326.53891302232097, 208.85428662232204, 317.0439033923217, 127.54490838232148]"
['2020-10-25 08:00:00'],2020-10-26 00:00:00,[4.1338],4.2545278812855845,2,[457.5705],457.5705,[0.12141418653901302],-55.24151700378556,1.9191256914018928,3838.2513828037854,"[9.334438199999784, 14.36771369999984, 10.935934950000116, 15.008312399999973]"
"['2020-10-26 08:00:00', '2020-10-26 08:00:00']",2020-10-26 12:00:00,"[4.36, 4.482586954364332]",4.3531391302909554,1,"[453.193, 453.193]",906.386,"[0.12258695436433151, 0.12258695436433151]",-61.77414586133689,3.9765114366785665,7953.022873357133,[20.671512990764903]
['2020-10-26 16:00:00'],2020-10-27 00:00:00,[4.101],4.242116482742917,2,[395.6818],395.6818,[0.1404046358018177],-55.83722390138634,1.6506096737506932,3301.2193475013864,"[-1.7805681000000675, -8.230181440000148]"
"['2020-10-28 04:00:00', '2020-10-29 08:00:00', '2020-10-29 16:00:00']",2020-11-02 00:00:00,"[4.026, 3.8949213209040114, 3.7549385604470618]",3.8175,2,"[407.9782, 423.8337, 396.8743]",1228.6862,"[0.13617285641473517, 0.1310786790959882, 0.13998276045694968]",93.04819206806988,4.737033664534035,9474.067329068072,"[27.212145939999992, 25.661828779999983, 42.715317539999916, 38.7579289999999, 2.447869200000093, 18.155029899999903, 97.79237453999983, 165.20731670763448, 184.42217159763476, 203.99855592806995, 390.1445152280699, 382.40379216806997, 346.15754926806983, 322.32103698806975, 321.2152194080696, 293.20117404806996, 351.6866371680695, 383.5096097480696, 358.1986740280696, 322.44390560807, 291.23527612806964, 338.4168262080699, 352.79245474806964, 322.19816836807, 385.4755076680699, 429.9539481080699, 317.28342356807, 306.2252477680696, 254.12895288806988]"
"['2020-11-03 00:00:00', '2020-11-03 00:00:00', '2020-11-03 16:00:00']",2020-11-06 00:00:00,"[3.5433, 3.435664425958141, 3.3213860987997794]",3.4582774479040763,2,"[516.1449, 516.1449, 486.1425]",1518.4323,"[0.10763557404185899, 0.10763557404185899, 0.11427832715836159]",-34.336341983622226,5.233992008267305,10467.98401653461,"[157.199375179722, 139.54721959972233, 116.73361501972232, 222.0271746197222, 284.19651072549465, 234.2400880554944, 442.11346992549477, 528.5122677954944, 663.6527424954943, 667.6006664754946, 461.54940336549464, 452.59065279549463, 497.8399353354944, 643.1539064454942, 628.7287995954948, 287.9925914754946, 258.9905345454947, 173.65463928549468]"
"['2020-11-06 04:00:00', '2020-11-06 08:00:00']",2020-11-06 12:00:00,"[3.4756, 3.616281797441965]",3.4691321198294642,1,"[402.4251, 394.9022]",797.3272999999999,"[0.13805192583067696, 0.14068179744196518]",-60.71256874288344,2.796390030818345,5592.780061636689,"[74.44864350000002, 84.7740534902135]"
"['2020-11-06 20:00:00', '2020-11-07 00:00:00']",2020-11-07 04:00:00,"[3.6606, 3.8126367452944305]",3.6547357830196288,1,"[370.8204, 365.4087]",736.2291,"[0.1498179413868897, 0.1520367452944304]",-59.87295663993215,2.7206593145903026,5441.318629180605,"[64.59691367999997, 31.172238529731278]"
['2020-11-07 08:00:00'],2020-11-07 12:00:00,[3.8348],3.6740636061961727,1,[352.3588],352.3588,[0.1576675647898149],-56.63688283704403,1.322907084821478,2645.8141696429557,[30.02096975999998]
['2020-11-09 04:00:00'],2020-11-09 08:00:00,[3.3534],3.52807510020021,2,[312.3572],312.3572,[0.1778590359287964],-54.56102520825704,1.0747391470841285,2149.478294168257,[8.777237320000072]
['2020-11-09 12:00:00'],2020-11-10 00:00:00,[3.3253],3.4958688938131606,2,[313.183],313.183,[0.177390093520196],-53.41927787108709,1.0681370688355436,2136.274137671087,"[4.165333900000028, -16.817927100000023, -15.095420600000006]"
['2020-11-11 00:00:00'],2020-11-11 20:00:00,[3.676],3.5196576660436216,1,[343.6745],343.6745,[0.16165165992615607],-53.730873451291416,1.2364820252743545,2472.9640505487087,"[49.248555849999995, 35.398473499999916, -8.694964850000035, -17.38992970000007, -37.185580900000026]"
['2020-11-12 12:00:00'],2020-11-13 04:00:00,[3.3735],3.5132281910508842,2,[369.9065],369.9065,[0.15018808496332323],-51.68636610296393,1.273722760801482,2547.4455216029637,"[21.935455449999967, 0.8877755999999022, -5.881513350000091, -25.1906326500001]"
"['2020-11-16 04:00:00', '2020-11-17 00:00:00']",2020-11-17 12:00:00,"[3.7041, 3.832888335484067]",3.7005751525008725,1,"[446.1047, 431.371]",877.4757,"[0.12453480294336704, 0.12878833548406704]",-58.648521092787654,3.2764890328897036,6552.978065779407,"[43.27215589999999, 52.23886037000009, 18.201071759999977, 16.148990140000002, 61.51783813000006, 147.0535860639025, 101.51259723390264, 54.918637563902514]"
"['2020-11-20 12:00:00', '2020-11-20 12:00:00']",2020-11-20 16:00:00,"[3.8736, 4.00620819788202]",3.8137,1,"[418.9451, 418.9451]",837.8902,"[0.13260819788201966, 0.13260819788201966]",-105.74517770250307,3.2483344445912516,6496.668889182503,[-83.6248764225029]
['2020-11-21 12:00:00'],2020-11-22 00:00:00,[4.0179],3.8710706056079696,1,[407.241],407.241,[0.1364193535251833],-59.794949401604875,1.6063561391991974,3212.712278398395,"[38.93223960000005, 11.076955199999865, 24.312287700000123]"
"['2020-11-23 04:00:00', '2020-11-24 04:00:00']",2020-11-24 08:00:00,"[4.1135, 4.271744905693011]",4.0904,1,"[344.6055, 351.0733]",695.6788,"[0.1612149420508057, 0.15824490569301108]",-71.62574152983433,2.8814174342849173,5762.834868569835,"[51.62190389999998, 35.1497609999998, -9.132045750000142, 7.029952199999838, 29.808375750000007, 58.20386894999994, 7.125098630165658]"
['2020-11-24 16:00:00'],2020-11-25 20:00:00,[4.2824],4.104506429407917,1,[289.2355],289.2355,[0.19207725073233253],-51.45313583698642,1.212895537281507,2425.7910745630134,"[-1.388330400000104, 25.828730149999917, -12.69743844999995, 35.28673099999997, 38.323703750000085, 16.023646699999905, -1.4172539500000365]"
"['2020-11-26 00:00:00', '2020-11-26 00:00:00', '2020-11-26 00:00:00']",2020-11-27 04:00:00,"[3.8576, 3.6666793341140558, 3.4757586682281114]",3.6971862855007993,2,"[290.9876, 290.9876, 290.9876]",872.9628,"[0.1909206658859444, 0.1909206658859444, 0.1909206658859444]",-26.631433702035515,3.2141903750613596,6428.380750122718,"[206.6995504903417, 332.4061936903418, 250.60957933034172, 326.2954540903417, 179.2885185703416, 133.7198604103416, 91.29386833034161]"
['2020-11-29 12:00:00'],2020-12-01 00:00:00,[3.7621],3.634500238066726,1,[362.8774],362.8774,[0.1530972960332903],-46.30306985096554,1.3420295316145174,2684.059063229035,"[-11.72094002000008, -19.341365420000045, 11.938666459999894, 1.6692360399999775, -6.713231900000148, 5.334297779999977, 23.369304559999843, -6.640656420000155, -17.30925198000011]"
['2020-12-01 12:00:00'],2020-12-02 00:00:00,[3.5342],3.6731159141634473,2,[417.7914],417.7914,[0.13297438422071245],-58.037874260626566,1.5055773030103132,3011.1546060206265,"[8.857177679999952, -6.851778960000173, 14.079570179999841]"
['2020-12-02 16:00:00'],2020-12-04 04:00:00,[3.8265],3.7001515138554133,1,[393.2156],393.2156,[0.1412852139951209],-49.682195788435266,1.4797983955057823,2959.5967910115646,"[4.521979400000113, -4.05012067999999, 16.43641208000011, 29.294562200000005, 3.6962266400001167, -1.2976114799999443, -1.8087917599999754, 15.532016200000124, -10.459534959999896]"
['2020-12-04 20:00:00'],2020-12-05 08:00:00,[3.568],3.695953782592242,2,[433.6023],433.6023,[0.1281255890119591],-55.481054425696044,1.574833533612848,3149.667067225696,"[29.83183823999999, -25.842697080000043, -29.65839732000001]"
