Entry Dates,Exit Date,Entry Prices,Exit Price,Trade Type,Quantities,Total Quantity,ATR Values,PnL,Txn Fee,Volume,Daily unrealized
"['2020-01-06 00:00:00', '2020-01-06 00:00:00', '2020-01-06 00:00:00']",2020-01-06 12:00:00,"[227.6, 232.87791342187498, 238.15582684374996]",232.51787082366988,1,"[10.526, 10.526, 10.526]",31.578,"[5.277913421874998, 5.277913421874998, 5.277913421874998]",-11.369425166119683,7.348134037452908,14696.268074905815,"[168.06084996403246, 155.42964996403316, 173.11332996403326]"
"['2020-01-06 20:00:00', '2020-01-06 20:00:00']",2020-01-07 12:00:00,"[239.44, 245.04735530812226]",239.346495676186,1,"[9.9076, 9.9076]",19.8152,"[5.60735530812227, 5.60735530812227]",-57.408240327991386,4.771402801286757,9542.805602573513,"[93.65302254924758, 10.627334549247628, 26.677646549247672, -5.81928145075262]"
"['2020-01-08 00:00:00', '2020-01-08 00:00:00']",2020-01-08 04:00:00,"[248.08, 254.36256577693138]",243.27,1,"[8.8428, 8.8428]",17.6856,"[6.282565776931354, 6.282565776931354]",-140.62320865224845,4.372687516326125,8745.37503265225,[-74.65592065224864]
"['2020-01-10 12:00:00', '2020-01-10 16:00:00']",2020-01-10 20:00:00,"[257.71, 265.11798866587037]",257.3813994332935,1,"[8.3609, 7.4994]",15.8603,"[6.64472491144254, 7.407988665870414]",-60.767173768963104,4.1125297963163465,8225.059592632693,"[94.39456100000018, 217.55889579917218]"
['2020-01-11 00:00:00'],2020-01-11 08:00:00,[274.93],266.6704505567194,1,[6.7289],6.7289,[8.256259770948047],-55.577682248890866,1.8221876358755549,3644.3752717511097,"[-12.986777000000046, -7.670945999999908]"
"['2020-01-14 00:00:00', '2020-01-14 04:00:00', '2020-01-14 12:00:00']",2020-01-23 16:00:00,"[279.5, 287.43017151645546, 295.3391763100565]",322.97,1,"[7.5714, 7.0056, 7.0243]",21.601300000000002,"[7.337548964689937, 7.93017151645544, 7.909004793601033]",772.1937752695918,6.590474973365206,13180.949946730412,"[71.01973199999996, 81.17665042432027, 1263.6628904243203, 1232.9495042695914, 1744.9003142695913, 1631.709502269591, 1193.2031122695907, 1331.4514322695916, 1405.3278782695907, 1094.4851712695909, 1248.0704142695913, 1214.3723862695913, 843.6940782695906, 887.3287042695914, 1014.3443482695914, 967.2535142695912, 995.3352042695915, 1218.476633269591, 1399.2795142695913, 1375.5180842695906, 1280.0403382695915, 2094.1933352695914, 2004.1159142695913, 2616.9447952695914, 2136.747896269591, 1972.5780162695917, 1876.6682442695917, 1385.2386692695918, 1478.5562852695916, 1508.3660792695914, 1714.4424812695906, 1565.3935112695913, 1075.2600142695912, 1115.4384322695914, 1174.1939682695909, 1217.6125812695907, 1070.7237412695918, 1029.2492452695913, 1312.8743142695912, 1324.1069902695908, 1423.904996269591, 1313.306340269591, 1312.8743142695912, 1295.8092872695909, 1274.4240002695917, 1214.1563732695913, 1263.191324269591, 1243.7501542695916, 1478.3402722695919, 1369.0376942695918, 1307.690002269591, 1336.2037182695908, 1355.8609012695915, 1365.797499269591, 1194.283177269591, 1190.3949432695908, 1143.3041092695908, 1103.1256912695917]"
"['2020-01-24 00:00:00', '2020-01-24 08:00:00']",2020-01-24 12:00:00,"[316.64, 303.55659587549604]",320.0,2,"[4.3239, 4.2463]",8.5702,"[12.848564126874184, 13.083404124503948]",-84.35193093388104,2.7002880345330595,5400.576069066119,"[41.68239599999994, 77.87343899999996, -51.87087293388087]"
"['2020-01-26 16:00:00', '2020-01-27 00:00:00', '2020-01-27 00:00:00']",2020-01-27 04:00:00,"[342.33, 353.58892330311187, 364.84784660622375]",353.28686946826747,1,"[4.9781, 4.9344, 4.9344]",14.846900000000002,"[11.159970418960558, 11.258923303111903, 11.258923303111903]",-3.992548132205237,5.247211096374523,10494.422192749047,"[33.00480299999998, 113.30155599999996, 170.80194355937454]"
"['2020-01-27 08:00:00', '2020-01-27 12:00:00']",2020-01-27 20:00:00,"[365.09, 376.98818186700555]",365.22659773203304,1,"[4.7872, 4.6692]",9.4564,"[11.60492828105849, 11.898181867005565]",-54.26326798022479,3.4808604327833095,6961.72086556662,"[61.18041600000014, 54.23381322657785, 26.148305226578128]"
['2020-01-28 12:00:00'],2020-01-28 16:00:00,[377.87],365.50302980155584,1,[4.6941],4.6941,[11.835231787835964],-58.051794808516746,1.7447336695957416,3489.467339191483,[-32.29540799999997]
