Entry Dates,Exit Date,Entry Prices,Exit Price,Trade Type,Quantities,Total Quantity,ATR Values,PnL,Txn Fee,Volume,Daily unrealized
"['2020-02-15 16:00:00', '2020-02-15 16:00:00', '2020-02-16 16:00:00', '2020-02-17 08:00:00']",2020-02-18 20:00:00,"[24.25, 23.445721111111112, 22.56807439633734, 21.64077726538437]",24.389965801968476,2,"[23.025, 23.025, 21.1002, 19.9704]",87.1206,"[0.8042788888888894, 0.8042788888888894, 0.8776467147737714, 0.9272971309529725]",-118.30861438541245,2.0657141474542686,4131.428294908537,"[3.4473285833333707, 4.920928583333372, -30.95202141666662, -13.176721416666659, 32.13647858333342, 95.2249785833333, 50.67967376093059, 75.92814896093043, 97.01331176093043, 129.37970816093062, 117.78523226156236, 42.07743086156237, 8.884482261562354, 17.857904061562177, -27.183446138437773, 11.498100261562454, 26.657084661562408, -48.52799313843755, -64.47106293843753]"
"['2020-02-19 20:00:00', '2020-02-25 12:00:00', '2020-02-25 16:00:00', '2020-02-26 00:00:00', '2020-02-26 12:00:00']",2020-03-03 08:00:00,"[21.519, 20.8540356174874, 20.17760338105856, 19.503851702351163, 18.811191454499507]",20.3,2,"[21.9631, 27.8489, 27.3768, 27.4857, 26.7354]",131.4099,"[0.843166969910877, 0.6649643825125955, 0.6764322364288423, 0.673751678707396, 0.692660247851655]",-22.835111601651484,2.656203414199174,5312.406828398349,"[-8.06045770000002, -9.949284300000066, -5.75433220000001, 4.809918899999948, 11.398848899999964, -7.687085000000032, -10.2787308, -13.880679200000031, -7.423527800000022, -13.96853160000006, -13.00215520000005, -6.501077600000064, -9.751616400000058, 0.19766789999992948, -3.5580222000000568, -9.180575800000062, -6.149668000000025, -8.895055500000025, -10.059099800000043, -19.437343500000036, -22.160767900000007, -23.74211110000007, -25.828605600000042, -24.24726240000006, -14.78116630000004, -15.857358200000029, -19.986421000000004, -17.15318110000005, 0.15374169999995382, -3.53605910000003, -1.9986421000000238, 14.034420899999986, 11.728295399999977, 20.623350900000002, 50.222033407844876, 48.34569605040901, 139.196913650409, 144.14829788572231, 163.51308038572256, 194.70608138572237, 296.49094539834846, 259.17053379834863, 318.6992184983485, 241.56160719834855, 208.84054209834872, 166.39514439834866, 129.33755259834868, 189.91751649834848, 140.9016237983488, 193.33417389834844, 264.68974959834884, 289.92045039834835, 217.77641529834844, 199.51043919834854, 174.01691859834864, 159.95605929834875, 172.04577009834858, 116.98502199834851, 108.70619829834867, 116.98502199834851, 127.49781399834876, 128.28627339834878, 124.34397639834864, 117.24784179834838, 213.7027083983486, 196.35660159834842, 178.4848551983485, 122.89846749834874, 117.77348139834855, 104.3696715983485, 69.54604809834844, 53.77686009834877, 76.6421826983487, 73.35693519834842, 73.61975499834874]"
"['2020-03-05 00:00:00', '2020-03-05 08:00:00', '2020-03-06 08:00:00']",2020-03-07 16:00:00,"[20.382, 20.965130211291854, 21.54651861858136]",19.930635735700022,1,"[31.5658, 31.7571, 31.8522]",95.1751,"[0.5866637219532287, 0.5831302112918505, 0.5813884072895064]",-98.56964336697062,1.9461850708923085,3892.370141784617,"[16.95083459999997, 34.406721999999995, 49.49027016698331, 47.147322866983366, 38.72537716698343, 38.28211686698333, 48.92036406698329, 69.3736607669833, 57.07631402420608, 27.762383224206097, 40.706196824206025, 50.79475742420618, 22.147052324206335, 23.57467882420605, 26.620282024206052, 22.242227424206114]"
"['2020-03-08 00:00:00', '2020-03-08 12:00:00', '2020-03-08 12:00:00', '2020-03-08 16:00:00', '2020-03-08 20:00:00']",2020-03-19 12:00:00,"[19.33, 18.772648406675874, 18.21529681335175, 17.631656939805097, 17.03850506204333]",11.329,2,"[33.0744, 33.2259, 33.2259, 31.7294, 31.2205]",162.47609999999997,"[0.5599042609271128, 0.5573515933241242, 0.5573515933241242, 0.5836398735466534, 0.5931518777617649]",1118.9867271814915,2.400185100490746,4800.3702009814915,"[0.13229759999992666, 3.4397375999999733, 43.98895199999994, 114.83332948611603, 233.79046279196766, 241.61578718149178, 317.65460198149174, 258.51330158149165, 420.5019732814916, 394.6682733814915, 336.3393534814915, 297.8325177814918, 274.7609115814919, 268.4243436814916, 309.5307969814916, 313.1052711814914, 228.61769918149147, 236.25407588149156, 269.7241524814915, 321.2290761814915, 354.0492483814918, 453.8095737814916, 360.0608640814916, 446.82310148149173, 613.0361517814916, 1391.7840990814914, 1172.9287923814916, 1066.8318990814914, 1518.0280287814915, 1946.4775044814912, 1692.6898362814914, 1399.7454279814913, 1480.4960496814915, 1497.2310879814916, 1342.3913646814913, 1257.5788404814914, 1214.5226739814916, 1286.9870145814914, 1259.5285536814913, 1257.7413165814914, 1355.2269765814915, 1339.6292709814913, 1323.0567087814914, 1324.0315653814914, 1283.8999686814914, 1277.4009246814917, 1313.1456666814913, 1333.1302269814917, 1489.2697590814914, 1598.1287460814913, 1575.7070442814913, 1468.9602465814912, 1487.3200458814915, 1444.4263554814913, 1345.4784105814913, 1358.8014507814914, 1392.9214317814913, 1307.1340509814916, 1298.6852937814913, 1307.2965270814914, 1368.2250645814916, 1372.1244909814914, 1390.4842902814914, 1337.6795577814914, 1309.0837641814915, 1295.1108195814916, 1282.1127315814915, 1240.6813260814915, 1182.3524061814915]"
"['2020-03-19 16:00:00', '2020-03-19 16:00:00', '2020-03-20 08:00:00']",2020-03-20 20:00:00,"[11.492, 12.239419176474222, 12.996113304320966]",10.618928739426048,1,"[24.7766, 24.7766, 24.4729]",74.0261,"[0.7474191764742207, 0.7474191764742207, 0.7566941278467451]",-119.95858089552104,0.8460571712053871,1692.114342410774,"[41.29220643216877, 34.70163083216881, 35.1971628321688, 90.74630003216873, 64.88986594685237, 51.86127234685236, 1.7456026468523886]"
"['2020-03-26 20:00:00', '2020-03-26 20:00:00']",2020-03-28 16:00:00,"[12.708, 13.251454572617535]",11.776,1,"[34.0756, 34.0756]",68.1512,"[0.5434545726175336, 0.5434545726175336]",-82.03545903468608,0.8435662607173431,1687.1325214346862,"[27.687972965313882, 18.419409765313933, 12.217650565313981, 4.448413765313928, 1.8586681653139105, -5.160905434686073, -45.779020634686084, -56.06985183468607, -43.052972634686014, -52.32153583468609, -56.81951503468601]"
['2020-03-29 12:00:00'],2020-04-02 00:00:00,[11.61],12.75,2,[39.0251],39.0251,[0.4745289986535785],-44.48861400000003,0.475325718,950.6514360000001,"[9.873350300000006, 13.658784999999988, 15.024663499999992, 2.1854055999999673, -12.058755900000042, -12.605107300000016, -17.678370300000047, -19.473524900000022, -19.12229900000001, -19.35644960000002, -29.151749699999996, -30.244452500000016, -34.88843940000001, -35.86406690000002, -24.19556200000004, -26.185842100000045, -23.883361200000007, -21.112579100000016, -13.658785000000057, -16.78079299999999, -34.732339000000024]"
"['2020-04-02 08:00:00', '2020-04-02 16:00:00', '2020-04-02 16:00:00', '2020-04-04 08:00:00', '2020-04-06 12:00:00']",2020-04-21 08:00:00,"[12.849, 13.2401992634031, 13.631398526806201, 14.026902549262388, 14.390818998274197]",14.775,1,"[47.263, 47.3378, 47.3378, 46.8226, 50.8867]",239.6479,"[0.3918184745098579, 0.39119926340310057, 0.39119926340310057, 0.3955040224561877, 0.3639164490118093]",272.3957772040574,3.4045998338979713,6809.199667795942,"[16.542049999999982, 42.82027800000002, -4.457641473369887, 1.6457183266302602, 39.25944732663009, 47.91770192663008, 39.11750872663017, 5.052244726630137, 21.942938126630107, 39.40138592663026, 37.981999926630046, 115.05465972663019, 81.07338182353698, 91.26648662353702, 116.18296502353697, 100.70454662353683, 77.48691902353696, 69.55894862353698, 59.55460502353683, 57.8557542235371, 54.835575023537096, 78.24196382353686, 153.93520502353684, 167.526011423537, 193.3862958235371, 330.3905690040572, 381.9148675040572, 449.0162795040575, 385.7492339040572, 438.47177190405733, 427.92726430405725, 350.0416968040574, 266.8838755040575, 416.6638130040575, 410.9122634040573, 360.8258523040574, 352.19852790405747, 361.5447960040574, 370.4117683040572, 366.0981061040574, 363.9412750040574, 378.55979690405735, 367.05669770405734, 348.3641615040575, 346.44697830405727, 345.9676825040575, 226.14373250405754, 114.70745900405757, 83.79287990405726, 85.71006310405747, 85.47041520405718, 98.65104970405753, 108.23696570405733, 89.06513370405732, 88.58583790405716, 55.75407560405747, 50.96111760405757, 60.786681504057235, 47.84569490405717, 86.4290068040575, 219.43359130405742, 289.4107781040574, 275.0319041040573, 154.24936250405736, 94.33738750405738, 321.0443009040573, 257.05831160405745, 275.7508478040573, 344.2901472040572, 432.72022230405753, 498.8630427040575, 458.12289970405755, 554.9406513040575, 515.3987478040573, 492.39254940405726, 520.6710016040573, 515.6383957040572, 470.82423840405727, 392.93867090405746, 374.24613470405717, 351.47958420405746, 251.5464099040575, 443.7440257040574, 484.2445208040575, 461.47797030405735, 458.12289970405755, 510.12649400405724, 503.4163528040575, 455.4867728040573, 546.7926227040573, 512.0436772040574, 487.5995914040574, 520.6710016040573, 594.242906904057, 575.0710749040574, 585.1362867040569, 683.6315736040573, 680.0368551040572, 763.1946764040574, 726.2888998040575, 710.4721384040577, 655.592769304057, 648.4033323040576, 630.6693877040573, 628.0332608040575, 649.8412197040577, 675.2438971040573, 660.1460794040576, 549.1891017040573, 534.8102277040572, 399.64881210405713, 427.4479685040575, 426.2497290040573, 402.76423480405754]"
"['2020-04-27 00:00:00', '2020-04-29 08:00:00', '2020-04-29 12:00:00', '2020-04-29 16:00:00', '2020-04-30 00:00:00']",2020-04-30 08:00:00,"[16.463, 16.75610579134018, 17.05070805630235, 17.34655691243245, 17.656980121327354]",16.612180392391974,1,"[54.483, 63.1803, 62.8594, 62.5945, 59.6557]",302.7729,"[0.33989544260130217, 0.29310579134017783, 0.2946022649621719, 0.29584885613009954, 0.31042320889490416]",-136.82723067440628,5.098131648064859,10196.263296129719,"[-0.4358640000001455, -3.7048440000000755, -4.46760600000004, -12.912471000000101, -2.669666999999972, 0.1089659999999396, -5.066918999999998, -1.253108999999983, -2.6151840000000988, -6.428994000000114, -4.46760600000004, -0.38138100000007896, 8.880729000000013, 24.844247999999972, 59.96290927139022, 106.64789697705875, 140.1296596218055, 296.21090202180534, 320.6080032979383, 160.44113919793833]"
['2020-05-04 04:00:00'],2020-05-08 16:00:00,[16.32],17.294,2,[51.17],51.17,[0.3619022008949638],-49.83958000000001,0.86001419,1720.0283800000002,"[-1.3815900000000525, -6.959119999999961, -22.10543999999993, -27.580630000000077, -34.693260000000045, -36.33070000000004, -14.634620000000071, -13.560050000000029, -17.80715999999995, -19.7004499999999, -14.020580000000047, -22.10543999999993, -26.250209999999903, -28.14350000000004, -22.36129000000006, -1.5351000000000583, 15.14631999999997, -7.829009999999934, -3.019030000000054, -5.270509999999897, -12.024949999999972, -31.72540000000005, -32.28827000000001, -25.431489999999997, -28.041159999999913, -28.911050000000067, -33.92571000000002]"
